전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
전세,덕진동1가,들사평4길,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,들사평5길,1,1,1,1,1,1,1,1,0,1
전세,덕진동1가,들사평로,3,3,3,3,3,3,3,3,2,3
전세,덕진동1가,들사평서로,3,3,3,3,3,3,3,3,3,3
전세,덕진동1가,떡전1길,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,떡전2길,2,2,2,2,2,2,2,2,2,2
전세,덕진동1가,떡전로,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,명륜4길,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,명륜5길,2,2,2,2,2,2,2,2,1,2
전세,덕진동1가,사평3길,4,4,4,4,4,4,4,4,3,4
전세,덕진동1가,사평로,2,2,2,2,2,2,2,2,2,2
전세,덕진동2가,가련산로,5,5,5,5,5,5,5,5,5,5
