전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지,번지.1,번지.1.1,번지
월세,삼천동1가,거마서로 56,210.0,0.0,80.28,202103.0,21.0,1000.0,65.0,1.0,2017.0,전북 전주시 삼천동1가 거마서로 56,127.119996156,35.797489932,1,1,1,1
월세,삼천동1가,난전들로 245-37,417.0,4.0,58.34279999999999,202040.66666666663,18.0,3233.333333333333,33.333333333333336,1.6666666666666667,2013.0,전북 전주시 삼천동1가 난전들로 245-37,127.11407736700001,35.789646713,3,3,3,3
월세,삼천동1가,안행3길 9-3,749.0,6.0,44.29,202103.0,5.0,1000.0,30.0,3.0,2005.0,전북 전주시 삼천동1가 안행3길 9-3,127.13128571600001,35.799985165,1,1,1,1
월세,삼천동1가,안행3길 9-7,749.0,4.0,48.95,202012.0,7.0,8000.0,10.0,2.0,2005.0,전북 전주시 삼천동1가 안행3길 9-7,127.13159754799999,35.800115718,1,1,1,1
월세,삼천동2가,계룡산길 71,339.0,0.0,84.7728,202007.0,21.0,1000.0,55.0,3.0,2017.0,전북 전주시 삼천동2가 계룡산길 71,127.106112098,35.787467926,2,2,2,2
월세,서서학동,장승배기8길 8,366.0,1.0,84.19,202010.0,19.0,1000.0,30.0,3.0,1981.0,전북 전주시 서서학동 장승배기8길 8,127.147427452,35.803364198000004,1,1,1,1
월세,서신동,안터4길 10,242.0,7.0,59.49,202006.0,5.0,900.0,25.0,2.0,1991.0,전북 전주시 서신동 안터4길 10,127.118142385,35.82990570000001,1,1,1,1
월세,서신동,안터4길 7,245.0,45.0,55.69,202103.0,6.0,5500.0,6.0,2.0,2005.0,전북 전주시 서신동 안터4길 7,127.11831318700001,35.829303851,1,1,1,1
월세,중인동,중인1길 136-12,801.0,1.0,68.04,202005.0,6.0,1750.0,49.0,3.5,2016.0,전북 전주시 중인동 중인1길 136-12,127.093617616,35.768232453,2,2,2,2
월세,중인동,중인1길 136-3,816.0,0.0,84.6775,202010.0,9.5,7000.0,22.5,2.0,2016.0,전북 전주시 중인동 중인1길 136-3,127.093078513,35.766813674,4,4,4,4
월세,중인동,중인2길 16-4,893.0,2.0,71.89,202006.0,12.0,2000.0,50.0,3.0,2015.0,전북 전주시 중인동 중인2길 16-4,127.09188077399999,35.765889185,1,1,1,1
월세,중화산동1가,강당4길 6,162.0,12.0,19.2,202005.0,28.0,200.0,21.0,2.0,2003.0,전북 전주시 중화산동1가 강당4길 6,127.133951501,35.813289388,1,1,1,1
월세,중화산동1가,선너머2길 26-21,227.0,7.0,30.375,202010.0,13.0,300.0,26.0,1.0,2003.0,전북 전주시 중화산동1가 선너머2길 26-21,127.12903733700001,35.814182435,1,1,1,1
월세,중화산동1가,선너머3길 14-7,285.0,0.0,25.92,202101.0,19.0,200.0,22.0,1.0,2002.0,전북 전주시 중화산동1가 선너머3길 14-7,127.13079954700001,35.814102012,1,1,1,1
월세,중화산동1가,선너머4길 19-1,292.0,21.0,48.1405,202012.0,16.0,500.0,30.0,4.0,2006.0,전북 전주시 중화산동1가 선너머4길 19-1,127.13183677299999,35.81427798,1,1,1,1
월세,중화산동1가,선너머4길 9-16,315.0,2.0,29.85,202006.0,20.0,200.0,25.0,2.0,2002.0,전북 전주시 중화산동1가 선너머4길 9-16,127.13171963200001,35.813759423,1,1,1,1
월세,중화산동2가,메너머1길 26-6,574.0,0.0,43.5,202102.0,6.0,2000.0,10.0,5.0,1997.0,전북 전주시 중화산동2가 메너머1길 26-6,127.120029876,35.821286304000004,1,1,1,1
월세,중화산동2가,메너머2길 25-12,707.0,8.0,25.2,202005.0,30.0,500.0,280.0,2.0,1997.0,전북 전주시 중화산동2가 메너머2길 25-12,127.119693866,35.821440192,1,1,1,1
월세,중화산동2가,선너머2길 26-5,24.0,3.0,28.16,202009.0,20.0,100.0,27.0,1.0,2003.0,전북 전주시 중화산동2가 선너머2길 26-5,127.128776181,35.814285731,1,1,1,1
월세,중화산동2가,신촌2길 8-20,401.0,47.0,131.17,202102.0,26.0,1000.0,50.0,4.0,2003.0,전북 전주시 중화산동2가 신촌2길 8-20,127.117509127,35.815150094,1,1,1,1
월세,중화산동2가,영선로 14-14,260.0,4.0,78.645,202008.0,25.0,500.0,55.0,2.0,2017.0,전북 전주시 중화산동2가 영선로 14-14,127.125097771,35.82239992,1,1,1,1
월세,중화산동2가,영선로 14-19,260.0,0.0,74.583,202056.0,12.0,6000.0,42.5,3.5,2016.0,전북 전주시 중화산동2가 영선로 14-19,127.1257123,35.822718767,2,2,2,2
월세,중화산동2가,인정4길 16-4,581.0,1.0,25.0,202103.0,19.0,100.0,30.0,4.0,2005.0,전북 전주시 중화산동2가 인정4길 16-4,127.121700137,35.820212237,1,1,1,1
월세,중화산동2가,인정4길 18,580.0,0.0,31.985,202005.0,12.5,5000.0,10.0,2.0,2006.0,전북 전주시 중화산동2가 인정4길 18,127.122114256,35.820448745,2,2,2,2
월세,중화산동2가,중산5길 4-2,624.0,1.0,35.89,202103.0,2.0,200.0,32.0,3.0,2004.0,전북 전주시 중화산동2가 중산5길 4-2,127.120662918,35.815767863000005,1,1,1,1
월세,중화산동2가,중산5길 8-15,626.0,9.0,28.0,202006.0,10.0,300.0,35.0,3.0,2005.0,전북 전주시 중화산동2가 중산5길 8-15,127.121326697,35.814866995,1,1,1,1
월세,중화산동2가,중산7길 4,610.0,3.0,35.0,202055.5,11.5,2050.0,22.5,3.0,1997.0,전북 전주시 중화산동2가 중산7길 4,127.11988048299999,35.817912524,2,2,2,2
월세,중화산동2가,중화산로 138-28,703.0,3.0,17.766666666666666,202008.0,15.666666666666664,2433.333333333333,5.666666666666668,2.0,2003.0,전북 전주시 중화산동2가 중화산로 138-28,127.120294984,35.822640958,3,3,3,3
월세,중화산동2가,화산천변3길 19-4,765.0,2.0,35.185,202103.0,18.0,300.0,30.0,1.0,2003.0,전북 전주시 중화산동2가 화산천변3길 19-4,127.114074316,35.820171152,1,1,1,1
월세,평화동1가,꽃밭정4길 22,592.0,64.0,88.20205,202006.5,5.5,9250.0,17.0,4.5,2013.0,전북 전주시 평화동1가 꽃밭정4길 22,127.13480176700001,35.798081178000004,2,2,2,2
월세,평화동1가,덕적골1길 70,498.0,0.0,81.63775,202056.0,14.5,3250.0,45.0,2.75,2017.0,전북 전주시 평화동1가 덕적골1길 70,127.140877228,35.791785698000005,4,4,4,4
월세,평화동1가,맏내3길 14-10,704.0,2.0,26.46,202012.0,3.0,200.0,22.0,4.0,2001.0,전북 전주시 평화동1가 맏내3길 14-10,127.13055246,35.793217573,1,1,1,1
월세,평화동1가,장승배기1길 22-1,382.0,5.0,73.265,202010.5,10.5,7000.0,27.0,3.0,2013.0,전북 전주시 평화동1가 장승배기1길 22-1,127.13977309299999,35.800258819,2,2,2,2
월세,평화동1가,평화15길 7,746.0,4.0,57.28717142857143,202034.57142857145,19.285714285714285,3550.285714285714,9.571428571428571,4.0,2019.0,전북 전주시 평화동1가 평화15길 7,127.136924044,35.791874014,7,7,7,7
월세,효자동1가,백제대로 162,165.0,1.0,77.04,202009.0,18.0,2000.0,25.0,1.0,1983.0,전북 전주시 효자동1가 백제대로 162,127.123962547,35.807489311,1,1,1,1
월세,효자동1가,백제대로 165-24,325.0,0.0,49.5,202009.0,5.0,3000.0,10.0,1.0,1983.0,전북 전주시 효자동1가 백제대로 165-24,127.120399656,35.808276885,1,1,1,1
월세,효자동1가,안행로 114,59.0,15.0,89.49,202009.0,1.0,2000.0,30.0,2.0,1991.0,전북 전주시 효자동1가 안행로 114,127.134752158,35.806582014,1,1,1,1
월세,효자동1가,오두정1길 26,385.0,4.0,65.46,202007.0,14.0,6000.0,20.0,3.0,1985.0,전북 전주시 효자동1가 오두정1길 26,127.11687414200001,35.807410546,1,1,1,1
월세,효자동1가,효동3길 17-5,802.0,0.0,59.9253,202008.0,9.666666666666666,9000.0,27.33333333333333,4.333333333333333,2014.0,전북 전주시 효자동1가 효동3길 17-5,127.129611626,35.805314521999996,3,3,3,3
월세,효자동2가,우전2길 41,157.0,2.0,71.35,202101.0,21.0,1000.0,40.0,3.0,1996.0,전북 전주시 효자동2가 우전2길 41,127.10708478299999,35.808008705,1,1,1,1
