addr,lat,long,house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all
전라북도 전주시 완산구 효자동1가,127.12,35.81,85.0,2.0,2.0,50.0,2.0,7.0,134.0,14.0,57.0,2325.564705882353,5471.895833333333,29.823529411764707,86.0,49.0,2825.25,6280.2,22.75,5.0,6.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 효자동3가,127.11,35.82,10.0,3.0,2.0,18.0,0.0,11.0,18.0,12.0,32.0,4250.166666666667,5000.333333333333,34.0,7.0,4.0,301.0,6500.5,31.0,2.0,3.0,1885.7428571428572,10814.5,47.2,36.0,39.0
전라북도 전주시 덕진구 인후동2가,127.14,35.85,13.0,1.0,0.0,16.0,0.0,3.0,20.0,7.0,29.0,1785.7857142857142,6900.0909091818185,30.642857144285717,15.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 태평동,127.14,35.83,52.0,1.0,2.0,55.0,0.0,4.0,196.0,26.0,63.0,2171.8076923833332,6192.39344242623,26.871794871923083,79.0,62.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 덕진동2가,127.13,35.85,3.0,1.0,1.0,9.0,0.0,3.0,15.0,10.0,46.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동1가,127.12,35.85,119.0,2.0,2.0,33.0,1.0,7.0,75.0,11.0,31.0,2365.338028211268,5855.693181954545,29.09859155169014,72.0,89.0,4001.0,6445.25,6.0,2.0,13.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 서신동,127.11,35.84,381.0,4.0,3.0,32.0,1.0,13.0,11.0,16.0,28.0,2371.8854166666665,5850.01,29.34375,97.0,101.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 덕진동2가,127.14,35.86,2.0,1.0,0.0,10.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 만성동,127.07,35.84,106.0,0.0,0.0,22.0,1.0,3.0,11.0,18.0,1.0,6696.333333333333,13702.589744102565,45.370370370740744,28.0,40.0,33001.0,37937.5625,101.0,2.0,17.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 만성동,127.07,35.83,84.0,0.0,0.0,16.0,0.0,1.0,12.0,11.0,1.0,3530.8076924615384,9955.577778044444,35.76923077269231,27.0,46.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 만성동,127.08,35.84,2.0,0.0,0.0,3.0,0.0,1.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1001.0,12800.2,61.0,2.0,6.0
전라북도 전주시 덕진구 만성동,127.08,35.85,38.0,2.0,0.0,3.0,0.0,3.0,21.0,20.0,0.0,6470.1000002,16433.400002,45.299999998,11.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 장동,127.07,35.85,18.0,2.0,0.0,2.0,0.0,4.0,6.0,5.0,0.0,11500.5,18000.333333333332,38.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 만성동,127.08,35.83,9.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 여의동,127.07,35.87,24.0,0.0,0.0,16.0,1.0,3.0,65.0,13.0,8.0,650.1666666666669,7000.166666666667,36.833333331666665,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 반월동,127.07,35.88,1.0,0.0,0.0,8.0,0.0,2.0,5.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,1000.3333333333334,7001.0,36.99999999999999,4.0,2.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동1가,127.17,35.84,72.0,0.0,1.0,20.0,1.0,6.0,38.0,10.0,14.0,2514.8333336296296,4444.04000004,27.296296295555553,55.0,26.0,2250.5,3300.25,16.5,3.0,5.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동1가,127.17,35.83,316.0,3.0,1.0,44.0,0.0,18.0,23.0,18.0,19.0,3307.025773216495,5867.249999991379,25.896907216237118,195.0,117.0,2255.6666666666665,5380.846153846154,22.555555555555557,10.0,14.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 성덕동,127.04,35.88,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.13,35.86,33.0,1.0,1.0,19.0,1.0,8.0,21.0,4.0,21.0,2851.8888890740745,6807.214285642856,31.11111111148148,28.0,15.0,1001.0,15200.2,31.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.14,35.87,7.0,1.0,0.0,7.0,0.0,0.0,11.0,8.0,7.0,301.0,4936.454545090909,36.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 호성동1가,127.14,35.88,2.0,0.0,1.0,4.0,0.0,2.0,28.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.13,35.87,30.0,1.0,0.0,17.0,0.0,6.0,39.0,13.0,15.0,820.2,8590.99999990909,33.0,6.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.12,35.87,44.0,0.0,1.0,18.0,0.0,4.0,36.0,9.0,22.0,2253.9230767692306,5096.464285857144,30.615384613846153,14.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.11,35.87,8.0,0.0,1.0,5.0,0.0,2.0,72.0,14.0,6.0,3230.0333333333333,8196.586207206898,28.766666666666666,31.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 여의동,127.08,35.86,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 용정동,127.06,35.88,1.0,0.0,0.0,9.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동1가,127.17,35.82,111.0,1.0,2.0,20.0,0.0,4.0,0.0,1.0,8.0,2458.4647886901407,7039.387500950002,24.957746479014084,72.0,81.0,750.1666666666666,6614.428571428572,19.833333333333332,7.0,8.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 우아동1가,127.18,35.83,12.0,0.0,1.0,9.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
