전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,서신동,서신천변7길,3,3,3,3,3,3,3,3,3,3
월세,서신동,서신천변8길,7,7,7,7,7,7,7,7,7,7
월세,서신동,서신천변9길,3,3,3,3,3,3,3,3,3,3
월세,서신동,서신천변로,5,5,5,5,5,5,5,5,5,5
월세,서신동,안터1길,2,2,2,2,2,2,2,2,2,2
월세,서신동,안터2길,5,5,5,5,5,5,5,5,5,5
월세,서신동,안터3길,3,3,3,3,3,3,3,3,3,3
월세,서신동,안터4길,7,7,7,7,7,7,7,7,7,7
월세,서신동,안터5길,4,4,4,4,4,4,4,4,4,4
월세,서신동,안터6길,2,2,2,2,2,2,2,2,2,2
월세,서신동,유연로,3,3,3,3,3,3,3,3,3,3
월세,서신동,잿뜸2길,3,3,3,3,3,3,3,3,3,3
월세,서신동,전룡1길,1,1,1,1,1,1,1,1,1,1
월세,서신동,전룡2길,3,3,3,3,3,3,3,3,3,3
월세,서신동,전룡4길,4,4,4,4,4,4,4,4,4,4
월세,서신동,전룡5길,4,4,4,4,4,4,4,4,4,4
월세,서신동,전룡6길,2,2,2,2,2,2,2,2,1,2
월세,서신동,전룡로,9,9,9,9,9,9,9,9,9,9
월세,서완산동1가,완산2길,2,2,2,2,2,2,2,2,2,2
월세,서완산동1가,완산3길,1,1,1,1,1,1,1,1,1,1
월세,서완산동1가,완산4길,1,1,1,1,1,1,1,1,1,1
월세,서완산동1가,전주천서로,1,1,1,1,1,1,1,1,1,1
월세,서완산동1가,효정2길,1,1,1,1,1,1,1,1,1,1
월세,서완산동2가,강당1길,1,1,1,1,1,1,1,1,1,1
월세,원당동,학전길,1,1,1,1,1,1,1,1,1,1
월세,전동3가,풍남문2길,1,1,1,1,1,1,1,1,1,1
월세,전동3가,풍남문4길,1,1,1,1,1,1,1,1,1,1
월세,중노송동,견훤로,10,10,10,10,10,10,10,10,10,10
월세,중노송동,견훤왕궁로,5,5,5,5,5,5,5,5,5,5
월세,중노송동,관선4길,1,1,1,1,1,1,1,1,1,1
월세,중노송동,기린대로,1,1,1,1,1,1,1,1,1,1
월세,중노송동,마당재2길,2,2,2,2,2,2,2,2,2,2
월세,중노송동,마당재3길,3,3,3,3,3,3,3,3,3,3
월세,중노송동,마당재4길,3,3,3,3,3,3,3,3,3,3
월세,중노송동,문화1길,5,5,5,5,5,5,5,5,5,5
월세,중노송동,문화3길,2,2,2,2,2,2,2,2,2,2
월세,중노송동,물왕멀1길,5,5,5,5,5,5,5,5,5,5
월세,중노송동,물왕멀2길,5,5,5,5,5,5,5,5,5,5
