전월세구분,dong,도로명,시군구,번지,본번,부번,건물명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
전세,덕진동1가,들사평1길 22-20,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,들사평4길 18,4,4,4,4,4,4,4,4,4,4,4,4,4
전세,덕진동1가,떡전1길 4,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,사평3길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,사평3길 8,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,덕진동1가,사평3길 8-1,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동2가,하가1길 18-4,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,덕진동2가,호반5길 8-4,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동2가,호반8길 26-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동2가,호반8길 26-7,5,5,5,5,5,5,5,5,5,5,5,5,5
전세,덕진동2가,호반8길 26-9,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,만성동,만성서로 77,16,16,16,16,16,16,16,16,16,16,16,16,16
전세,반월동,반월로 38-8,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,산정동,산정1길 22,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,송천동1가,솔내7길 10-4,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,송천동1가,솔내8길 16,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,송천동1가,송천2길 25,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,송천동1가,송천로 74,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,송천동1가,오송로 59-12,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,송천동1가,오송로 59-2,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,우아동1가,인교3길 20,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,우아동1가,인교5길 17,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,우아동1가,인교5길 19,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동1가,인교7길 20-10,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동1가,인교로 34,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동2가,석소2길 14-2,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,우아동2가,석소2길 19,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동2가,석소4길 5-16,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동2가,아중6길 10-1,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,우아동3가,동부대로 670,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동3가,안덕원1길 45,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,우아동3가,우아8길 24,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,가재미1길 6-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,가재미3길 7,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,가재미6길 10-5,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,동가재미2길 24-7,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,무삼지6길 11-4,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,서가재미1길 12,2,2,2,2,2,2,2,2,2,2,2,2,2
