전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지
전세,덕진동1가,권삼득로 360,1315.0,29.0,19.28,202101.0,27.0,4000.0,0.0,1.0,2003.0,전북 전주시 덕진동1가 권삼득로 360,127.12401523,35.846406982,1
전세,덕진동1가,덕진연못1길 9,1280.0,14.0,15.5,202102.0,24.0,3500.0,0.0,3.0,2012.0,전북 전주시 덕진동1가 덕진연못1길 9,127.122259024,35.845948197,1
전세,덕진동1가,들사평1길 22-16,1435.0,3.0,42.1525,202034.0,12.25,3750.0,0.0,2.25,2004.0,전북 전주시 덕진동1가 들사평1길 22-16,127.120498987,35.838603621,4
전세,덕진동1가,들사평1길 22-20,1435.0,41.0,25.86,202102.0,23.0,2950.0,0.0,3.0,2004.0,전북 전주시 덕진동1가 들사평1길 22-20,127.120756844,35.838407134,1
전세,덕진동1가,들사평4길 18,1270.0,33.0,66.15,202009.0,13.0,6687.5,0.0,2.5,1983.0,전북 전주시 덕진동1가 들사평4길 18,127.12372154100001,35.841120864000004,4
전세,덕진동1가,떡전1길 4,1173.0,2.0,70.5,202011.0,21.0,6500.0,0.0,3.0,1983.0,전북 전주시 덕진동1가 떡전1길 4,127.12564095799999,35.836439004,1
전세,덕진동1가,사평3길 6,1401.0,22.0,17.59,202012.0,26.0,4000.0,0.0,4.0,2012.0,전북 전주시 덕진동1가 사평3길 6,127.12301719700001,35.843552337,1
전세,덕진동1가,사평3길 8,1401.0,38.0,67.2,202053.5,15.5,8500.0,0.0,3.5,2012.0,전북 전주시 덕진동1가 사평3길 8,127.122900251,35.843640793,2
전세,덕진동1가,사평3길 8-1,1401.0,17.0,17.84,202103.0,26.0,4500.0,0.0,3.0,2012.0,전북 전주시 덕진동1가 사평3길 8-1,127.121228164,35.839862965,1
전세,덕진동2가,하가1길 18-4,133.0,1.0,43.47,202009.5,8.0,3000.0,0.0,2.0,1986.0,전북 전주시 덕진동2가 하가1길 18-4,127.114667285,35.847706109,2
전세,덕진동2가,호반5길 8-4,167.0,235.0,74.94,202102.0,6.0,10000.0,0.0,2.0,2011.0,전북 전주시 덕진동2가 호반5길 8-4,127.115813064,35.849930413,1
전세,덕진동2가,호반8길 26-3,6.0,0.0,56.096000000000004,202006.0,12.0,6629.0,0.0,2.0,2013.0,전북 전주시 덕진동2가 호반8길 26-3,127.117311059,35.852624766,1
전세,덕진동2가,호반8길 26-7,5.0,1.0,54.85984000000001,202008.0,14.8,6675.4,0.0,3.6,2013.0,전북 전주시 덕진동2가 호반8길 26-7,127.11792476299999,35.852619915,5
전세,덕진동2가,호반8길 26-9,5.0,8.0,56.096000000000004,202009.33333333328,11.666666666666664,6612.0,0.0,3.6666666666666665,2013.0,전북 전주시 덕진동2가 호반8길 26-9,127.117583183,35.85245384,3
전세,만성동,만성서로 77,1359.0,1.0,97.34250000000002,202005.625,15.6875,37937.5,0.0,2.6875,2020.0,전북 전주시 만성동 만성서로 77,127.07147440600001,35.844704763,16
전세,반월동,반월로 38-8,401.0,8.0,59.96,202103.0,4.0,7000.0,0.0,3.0,2012.0,전북 전주시 반월동 반월로 38-8,127.069479479,35.875296346999995,1
전세,산정동,산정1길 22,860.0,6.0,25.73,202070.33333333328,22.0,3233.333333333333,0.0,3.333333333333333,2012.0,전북 전주시 산정동 산정1길 22,127.167989909,35.838104021,3
전세,송천동1가,솔내7길 10-4,478.0,19.0,49.98,202008.0,27.0,7000.0,0.0,4.0,2012.0,전북 전주시 송천동1가 솔내7길 10-4,127.121985584,35.859583805999996,1
전세,송천동1가,솔내8길 16,484.0,0.0,19.67,202006.66666666663,10.0,4333.333333333333,0.0,3.6666666666666665,2017.0,전북 전주시 송천동1가 솔내8길 16,127.122965541,35.86089072,3
전세,송천동1가,송천2길 25,417.0,9.0,84.65,202010.0,13.0,6000.0,0.0,3.0,1991.0,전북 전주시 송천동1가 송천2길 25,127.118308181,35.858985359,1
전세,송천동1가,송천로 74,471.0,4.0,57.2,202102.0,25.0,1000.0,0.0,2.0,1985.0,전북 전주시 송천동1가 송천로 74,127.117905204,35.859928875,1
전세,송천동1가,오송로 59-12,65.0,5.0,84.55,202011.5,13.5,16000.0,0.0,4.0,2013.0,전북 전주시 송천동1가 오송로 59-12,127.132646647,35.862416924,2
전세,송천동1가,오송로 59-2,84.0,5.0,84.04,202038.0,25.0,14666.666666666664,0.0,2.0,2013.0,전북 전주시 송천동1가 오송로 59-2,127.132669325,35.861603714,3
전세,우아동1가,인교3길 20,917.0,2.0,29.25,202053.0,8.5,2450.0,0.0,3.0,2002.0,전북 전주시 우아동1가 인교3길 20,127.174163804,35.827982407,2
전세,우아동1가,인교5길 17,916.0,1.0,55.5754,202056.0,11.5,6966.0,0.0,4.0,2012.0,전북 전주시 우아동1가 인교5길 17,127.173866035,35.827521321999996,2
전세,우아동1가,인교5길 19,916.0,2.0,57.2523,202101.0,15.0,6618.0,0.0,2.0,2012.0,전북 전주시 우아동1가 인교5길 19,127.174200326,35.827573979,1
전세,우아동1가,인교7길 20-10,889.0,3.0,84.8043,202006.0,8.0,18000.0,0.0,5.0,2017.0,전북 전주시 우아동1가 인교7길 20-10,127.17406017,35.826857739,1
전세,우아동1가,인교로 34,770.0,24.0,84.58,202006.0,20.0,23500.0,0.0,1.0,2019.0,전북 전주시 우아동1가 인교로 34,127.172853606,35.824788718,1
전세,우아동2가,석소2길 14-2,878.0,8.0,35.09333333333333,202008.0,19.666666666666668,4333.333333333333,0.0,2.6666666666666665,2003.0,전북 전주시 우아동2가 석소2길 14-2,127.169096017,35.833804184,3
전세,우아동2가,석소2길 19,868.0,10.0,33.76,202004.0,8.0,3000.0,0.0,2.0,2004.0,전북 전주시 우아동2가 석소2길 19,127.16860526399999,35.834248650999996,1
전세,우아동2가,석소4길 5-16,882.0,10.0,42.9,202006.0,23.0,500.0,0.0,2.0,2003.0,전북 전주시 우아동2가 석소4길 5-16,127.17111325,35.833851795,1
전세,우아동2가,아중6길 10-1,899.0,4.0,54.24,202054.0,17.0,5000.0,0.0,1.5,2003.0,전북 전주시 우아동2가 아중6길 10-1,127.173142571,35.832548544,2
전세,우아동3가,동부대로 670,766.0,0.0,59.8573,202103.0,19.0,23000.0,0.0,13.0,2021.0,전북 전주시 우아동3가 동부대로 670,127.16172428700001,35.848380152,1
전세,우아동3가,안덕원1길 45,449.0,3.0,55.35,202004.0,2.0,3500.0,0.0,1.0,1982.0,전북 전주시 우아동3가 안덕원1길 45,127.16588724100001,35.839425009,1
전세,우아동3가,우아8길 24,744.0,42.0,48.33,202005.0,20.0,6160.0,0.0,2.0,2012.0,전북 전주시 우아동3가 우아8길 24,127.158388261,35.851148479,1
전세,인후동1가,가재미1길 6-3,880.0,2.0,20.57,202008.0,20.0,2000.0,0.0,2.0,2003.0,전북 전주시 인후동1가 가재미1길 6-3,127.161759158,35.828812503,1
전세,인후동1가,가재미3길 7,880.0,8.0,20.79,202101.0,24.0,1500.0,0.0,4.0,2006.0,전북 전주시 인후동1가 가재미3길 7,127.16142681299999,35.829096775,1
전세,인후동1가,가재미6길 10-5,876.0,9.0,31.905,202103.0,1.0,2500.0,0.0,4.0,2003.0,전북 전주시 인후동1가 가재미6길 10-5,127.163088551,35.83013443,1
전세,인후동1가,동가재미2길 24-7,852.0,12.0,33.82,202004.0,22.0,4500.0,0.0,3.0,2003.0,전북 전주시 인후동1가 동가재미2길 24-7,127.16344331,35.833138457,1
전세,인후동1가,무삼지6길 11-4,901.0,10.0,75.34,202011.0,1.0,8200.0,0.0,3.0,2005.0,전북 전주시 인후동1가 무삼지6길 11-4,127.16353705700001,35.827713045,1
전세,인후동1가,서가재미1길 12,831.0,5.0,40.63,202102.5,12.5,4500.0,0.0,3.0,2003.0,전북 전주시 인후동1가 서가재미1길 12,127.16031653700001,35.830940566,2
전세,인후동1가,서가재미1길 6-9,831.0,4.0,45.3063,202101.0,20.0,5000.0,0.0,3.0,2012.0,전북 전주시 인후동1가 서가재미1길 6-9,127.160139624,35.83084438,1
전세,인후동1가,서가재미2길 14,828.0,2.0,28.61,202004.0,22.0,3000.0,0.0,2.0,2002.0,전북 전주시 인후동1가 서가재미2길 14,127.159953196,35.831929036,1
전세,인후동1가,안골1길 11-2,763.0,8.0,20.86,202009.5,9.0,4000.0,0.0,2.0,2003.0,전북 전주시 인후동1가 안골1길 11-2,127.15747187299999,35.838293223,2
전세,인후동1가,안골1길 13,763.0,17.0,25.48,202007.0,4.0,1800.0,0.0,2.0,2003.0,전북 전주시 인후동1가 안골1길 13,127.15753359600001,35.838155778,1
전세,인후동1가,인후6길 10,226.0,5.0,84.18,202005.0,15.0,3000.0,0.0,1.0,1983.0,전북 전주시 인후동1가 인후6길 10,127.157436187,35.832793067,1
전세,인후동1가,인후6길 12,226.0,226.0,57.8713,202101.0,28.0,6751.0,0.0,3.0,2013.0,전북 전주시 인후동1가 인후6길 12,127.157178701,35.832391206,1
전세,인후동1가,진버들2길 13,507.0,38.0,44.34,202004.0,3.0,2800.0,0.0,3.0,1987.0,전북 전주시 인후동1가 진버들2길 13,127.159187027,35.836529793000004,1
전세,인후동1가,진버들2길 42,520.0,6.0,22.23,202004.0,23.0,2500.0,0.0,3.0,2001.0,전북 전주시 인후동1가 진버들2길 42,127.16218347200001,35.837115794,1
전세,인후동1가,팽나무1길 27-3,645.0,1.0,81.1,202008.0,5.0,7000.0,0.0,4.0,2006.0,전북 전주시 인후동1가 팽나무1길 27-3,127.150922646,35.833737269000004,1
전세,인후동1가,팽나무3길 23,776.0,1.0,32.12,202102.0,16.0,4500.0,0.0,4.0,2002.0,전북 전주시 인후동1가 팽나무3길 23,127.15364207299999,35.834395871,1
전세,인후동1가,한배미1길 57-3,948.0,7.0,23.91,202102.0,16.0,3000.0,0.0,4.0,2002.0,전북 전주시 인후동1가 한배미1길 57-3,127.16732317299999,35.822890318,1
전세,인후동1가,한배미4길 14-3,935.0,6.0,67.86,202008.0,26.0,6150.0,0.0,1.5,2003.0,전북 전주시 인후동1가 한배미4길 14-3,127.16554781399999,35.824494902,2
전세,인후동1가,한배미5길 23,944.0,18.0,25.2,202012.0,10.0,2000.0,0.0,3.0,2001.0,전북 전주시 인후동1가 한배미5길 23,127.166006423,35.823118722,2
전세,인후동1가,한배미6길 30-3,17.0,0.0,48.25,202011.0,18.0,3500.0,0.0,1.0,2002.0,전북 전주시 인후동1가 한배미6길 30-3,127.167732305,35.822068004,1
전세,진북동,어은로 126,988.0,3.0,46.8,202010.0,18.5,2500.0,0.0,2.5,2003.0,전북 전주시 진북동 어은로 126,127.129656362,35.823797301999996,2
전세,팔복동1가,신복3길 12,119.0,11.0,57.96,202054.5,13.0,3500.0,0.0,1.5,1984.0,전북 전주시 팔복동1가 신복3길 12,127.108528792,35.853863548,2
전세,팔복동2가,추천로 119,68.0,8.0,49.365,202007.0,8.0,2000.0,0.0,2.0,1983.0,전북 전주시 팔복동2가 추천로 119,127.106472877,35.848779238,1
전세,팔복동2가,팔복2길 3,174.0,2.0,59.22,202005.0,13.0,2000.0,0.0,2.0,1984.0,전북 전주시 팔복동2가 팔복2길 3,127.111011904,35.851613983,1
