0,1,near_bus_stop,near_bus_stop_count,bus_at_each_stop,total_bus
127.1,35.85,"[[127.09568025, 35.85204409, '정비공단', 306101148], [127.095864, 35.85157634, '정비공단', 306101142], [127.10245833, 35.84929956, '팔복남양아파트', 306101111], [127.10246158, 35.84987045, '팔복남양아파트', 306101122], [127.10381288, 35.85454879, '팔복주유소', 306101192], [127.1038692, 35.85285666, '팔복근린상가', 306101157]]",6,(정비공단-306101148)-5대(정비공단-306101142)-4대,9
127.11,35.85,"[[127.10516829, 35.85328787, '팔복근린상가', 306101162], [127.10894951, 35.84599612, '하가더루벤스아파트', 306032043], [127.10918317, 35.8458897, '하가더루벤스아파트', 306032042], [127.10941324, 35.85120122, '추천대교', 306101140], [127.10963811, 35.85157764, '추천대교', 306101143], [127.11385266, 35.84909503, '덕일초중', 306101107], [127.11426908, 35.84944843, '전일여객', 306101115]]",7,(팔복근린상가-306101162)-25대(하가더루벤스아파트-306032042)-3대(전일여객-306101115)-23대,51
127.14,35.81,"[[127.13512512, 35.80871108, '용머리고개', 305100538], [127.13690696, 35.80905101, '용머리고개', 305100537], [127.13903665, 35.81225757, '완산동시외버스정류소', 305100568], [127.13925744, 35.81220216, '완산동시외버스정류소', 305100567], [127.13968639, 35.81449456, '완산교', 305100600], [127.14291685, 35.81475211, '전주시보건소', 305100605]]",6,(용머리고개-305100538)-61대(완산동시외버스정류소-305100567)-59대,120
127.14,35.82,"[[127.13657217, 35.82025314, '도토리골다리', 305100688], [127.13676333, 35.82045026, '도토리골다리', 305100691], [127.13745777, 35.82246074, '농협태평지점', 305100720], [127.13762782, 35.82253727, '농협태평지점', 305100725], [127.13765637, 35.81550005, '신흥중고등학교', 305100621], [127.13766517, 35.81577568, '신흥중고등학교', 305100625], [127.13925742, 35.8173306, '다가교', 305100646], [127.1395377, 35.81552583, '다가교서문교회', 305100623], [127.14003866, 35.82151057, '전주초교', 305100706], [127.14015912, 35.8216286, '전주초교', 305100716], [127.14111827, 35.8167323, '서문', 305100640], [127.14150244, 35.81714449, '서문', 305100644], [127.14274571, 35.81515762, '전주시보건소', 305100611], [127.1431769, 35.81507129, '전주시보건소', 305100608], [127.14318146, 35.82255149, '상진신협', 305100726], [127.14389968, 35.82265575, '상진신협', 305100721], [127.14462905, 35.82397975, '중앙시장.중앙성당.방송대', 306100743], [127.14478939, 35.82440898, '중앙시장.세이브존', 306100752]]",18,(도토리골다리-305100688)-3대(도토리골다리-305100691)-3대(농협태평지점-305100725)-2대(신흥중고등학교-305100625)-13대(서문-305100640)-22대(전주시보건소-305100608)-12대(상진신협-305100721)-1대(중앙시장.세이브존-306100752)-47대,103
127.12,35.8,"[[127.11661146, 35.80351383, '상산고', 305100473], [127.11669807, 35.79961, '풍남중', 305100430], [127.11672632, 35.79604654, '삼천흥건2차아파트', 305100379], [127.11697945, 35.80362255, '상산고', 305100475], [127.11701112, 35.79602062, '삼천흥건2차아파트', 305100378], [127.11701353, 35.79917526, '풍남중', 305100426], [127.11750939, 35.7985201, '완산소방서', 305100407], [127.1178396, 35.7987292, '완산소방서', 305100418], [127.12035368, 35.79994928, '삼천지구대', 305100439], [127.12040447, 35.79971167, '삼천지구대', 305100433], [127.1205477, 35.79875638, '효문여중', 305100420], [127.12072311, 35.79850143, '효문여중', 305100406], [127.12251059, 35.80080631, '삼천세경아파트', 305100446], [127.1226038, 35.80121321, '삼천세경아파트', 305100452], [127.12434576, 35.80239317, '삼천광진목화아파트', 305100464], [127.1243747, 35.80397906, '효자광진맨션아파트', 305100482], [127.12447188, 35.80313307, '효자광진맨션아파트', 305100470], [127.12468479, 35.80227427, '삼천광진목화아파트', 305100462]]",18,(상산고-305100473)-5대(상산고-305100475)-5대(풍남중-305100426)-1대(완산소방서-305100407)-6대(삼천지구대-305100439)-6대(효문여중-305100420)-4대(효자광진맨션아파트-305100470)-5대,32
127.15,35.8,"[[127.14622023, 35.80135462, '서서학우정목련아파트', 305100453], [127.14638647, 35.80104093, '서서학우정목련아파트', 305100449], [127.14798313, 35.80326509, '서서학예그린아파트', 305100472], [127.1481829, 35.7951631, '흑석골종점', 305032649], [127.1481832, 35.795091, '흑석골종점', 305032648], [127.14862646, 35.80387901, '서서학예그린아파트', 305100480], [127.14952594, 35.79766091, '흑석골', 305100400], [127.14982622, 35.79763853, '흑석골', 305100399], [127.14995377, 35.80419902, '흑석골입구', 305100038], [127.15005506, 35.80233492, '흑석송원아파트', 305100463], [127.1503762, 35.80190147, '흑석송원아파트', 305100460], [127.1505434, 35.79957576, '흑석대승푸른맨션', 305100431], [127.15072101, 35.79953534, '흑석대승푸른맨션', 305100429], [127.15448794, 35.80143367, '삼경사', 305100457], [127.15464303, 35.80141327, '삼경사', 305100456]]",15,(서서학우정목련아파트-305100453)-55대(서서학우정목련아파트-305100449)-51대(흑석골종점-305032648)-1대(흑석골-305100400)-1대(삼경사-305100456)-1대,109
127.12,35.83,"[[127.11505463, 35.82531421, '마전교.본병원', 305100773], [127.1152634, 35.83367417, '서신남양아파트', 305100914], [127.11538568, 35.83408798, '서신중흥아파트', 305100919], [127.11563285, 35.82733207, '서신신협', 305100807], [127.11567315, 35.83480092, '서신중흥아파트', 305100932], [127.11573814, 35.83046736, '서신동주민센터', 305100855], [127.11580966, 35.82601545, '서신로마전교', 305100783], [127.11588987, 35.82776457, '서신신협', 305100813], [127.11589385, 35.83139685, '서신동주민센터', 305100860], [127.11605605, 35.83489342, '서신중흥아파트', 305100935], [127.11761223, 35.83213953, '서신현대아파트', 305100876], [127.11764444, 35.83230921, '서신현대아파트', 305100884], [127.11787983, 35.83396213, '광진선수촌아파트', 305100921], [127.11851213, 35.82667274, '서신성당', 305100795], [127.11855733, 35.83375079, 'KT정보센터', 305100912], [127.11873762, 35.8270564, '서신성당', 305100803], [127.12046394, 35.82523671, '유연로중산공원', 305100770], [127.12083358, 35.83209104, '이마트', 305100877], [127.12084046, 35.83229843, '이마트', 305100883], [127.12094987, 35.82543987, '유연로중산공원', 305100777], [127.12148674, 35.82805427, '전용리', 305100816], [127.12176071, 35.82836358, '전용리', 305100818], [127.12246259, 35.82666764, '서신유창아파트', 305100794], [127.12261048, 35.83086462, '한일고', 312032143], [127.12302775, 35.82626336, '서신우신아파트', 305100787], [127.12462519, 35.83489768, '가리내로 백제교', 306100936]]",26,(마전교.본병원-305100773)-2대(서신남양아파트-305100914)-6대(서신중흥아파트-305100919)-6대(서신신협-305100807)-7대(서신중흥아파트-305100932)-2대(서신로마전교-305100783)-3대(서신신협-305100813)-5대(서신중흥아파트-305100935)-1대(서신현대아파트-305100876)-2대(서신현대아파트-305100884)-1대(유연로중산공원-305100777)-2대,37
127.13,35.81,"[[127.12538429, 35.81186949, '전주상업정보고', 305100563], [127.1257966, 35.8120153, '풍림아이원', 305100565], [127.12596271, 35.80600325, '서부시장', 305100509], [127.12713665, 35.80600367, '서부시장', 305100508], [127.12902712, 35.81169705, '중화산동현대아파트', 305100562], [127.1299393, 35.81235, '준한방병원', 305100564], [127.13053831, 35.80723567, '효자주공3단지', 305100525], [127.13090392, 35.80703339, '효자주공3단지', 305100521], [127.1317143, 35.8112572, '중화산영무예다음현대아파트', 305032324], [127.1319686, 35.8113166, '중화산동오페라하우스', 305032326], [127.13276292, 35.81322379, '예수병원', 305100578], [127.13283941, 35.81358862, '예수병원', 305100587]]",12,(풍림아이원-305100565)-12대(서부시장-305100508)-58대(중화산영무예다음현대아파트-305032324)-1대,71
127.16,35.82,"[[127.15534938, 35.82294804, '전주제일고 입구', 305100729], [127.15846603, 35.82357488, '천사마을', 305100737], [127.1590375, 35.8178782, '원산파크', 306132150], [127.1592145, 35.8179057, '원산파크', 306132149], [127.15924108, 35.82349591, '천사마을', 305100735], [127.16095519, 35.8159242, '남노촌', 305100627], [127.16103991, 35.81621072, '남노촌', 305100633], [127.1612903, 35.8209852, '기린봉', 305100696], [127.1614752, 35.8238429, '마당재사거리', 305032337], [127.161608, 35.8212485, '기린봉', 305100699], [127.16338169, 35.82493459, '마당재', 306100764]]",11,(천사마을-305100737)-7대(천사마을-305100735)-7대(마당재사거리-305032337)-1대(기린봉-305100699)-1대,16
127.13,35.8,"[[127.12594331, 35.79739139, '삼천삼익아파트막걸리골목', 305100395], [127.12611991, 35.79719125, '삼천오성대우아파트', 305100393], [127.12653165, 35.80119379, '삼천쌍용1단지', 305100451], [127.12692788, 35.80149939, '효자광진공작아파트', 305100459], [127.12768493, 35.79863326, '삼천세창 짜임아파트', 305100414], [127.12804271, 35.79853459, '삼천개나리아파트', 305100409], [127.13035529, 35.79526084, '삼천우성아파트', 305100374], [127.1303768, 35.7974818, '삼천신일아파트', 305100392], [127.13109865, 35.79746211, '삼천신일아파트', 305100396], [127.13135157, 35.79506129, '농협평화지소', 305100373], [127.13461747, 35.79650315, '꽃밭정이네거리', 305100387]]",11,(삼천삼익아파트막걸리골목-305100395)-9대(삼천오성대우아파트-305100393)-9대(효자광진공작아파트-305100459)-3대(삼천우성아파트-305100374)-5대(삼천신일아파트-305100392)-4대(농협평화지소-305100373)-4대(꽃밭정이네거리-305100387)-46대,80
