전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,삼천동1가,상거마4길,80.0,202012.0,19.0,4000.0,10.0,1993.0,전북 전주시 삼천동1가 상거마4길,127.11951712700001,35.797009096,1,1,1,1,1
월세,삼천동1가,솟대1길,62.172222222222224,202040.33333333328,22.11111111111111,1200.0,23.88888888888889,1994.2222222222226,전북 전주시 삼천동1가 솟대1길,127.126140112,35.794394214,9,9,9,9,9
월세,삼천동1가,솟대2길,60.68000000000001,202039.33333333328,15.166666666666664,1608.333333333333,22.41666666666667,1994.1739130434785,전북 전주시 삼천동1가 솟대2길,127.125889461,35.795251491,24,24,24,24,24
월세,삼천동1가,솟대로,127.22,202009.0,19.0,4000.0,30.0,1993.0,전북 전주시 삼천동1가 솟대로,127.127349064,35.794764399,1,1,1,1,1
월세,삼천동1가,송정1길,59.75,202007.5,21.25,1575.0,20.5,1994.0,전북 전주시 삼천동1가 송정1길,127.11953905200001,35.798996035,4,4,4,4,4
월세,삼천동1가,송정2길,68.83999999999999,202024.83333333328,10.833333333333336,1816.666666666667,21.5,1991.0,전북 전주시 삼천동1가 송정2길,127.11914412200001,35.799742138,6,6,6,6,6
월세,삼천동1가,송정3길,59.4,202012.0,31.0,1000.0,27.0,1988.0,전북 전주시 삼천동1가 송정3길,127.12037198,35.800863317,1,1,1,1,1
월세,삼천동1가,송정로,77.68,202004.0,13.0,2000.0,25.0,1987.0,전북 전주시 삼천동1가 송정로,127.117766983,35.80216291,1,1,1,1,1
월세,삼천동1가,안행2길,53.44000000000001,202007.5,17.5,5500.0,17.5,,전북 전주시 삼천동1가 안행2길,127.12959725399999,35.801035301999995,2,2,2,2,2
월세,삼천동1가,안행3길,33.0,202101.0,25.0,500.0,20.0,2002.0,전북 전주시 삼천동1가 안행3길,127.130958079,35.799618599,1,1,1,1,1
월세,삼천동1가,용리로,135.79000000000002,202056.5,24.0,3500.0,35.0,1994.0,전북 전주시 삼천동1가 용리로,127.120953095,35.798494589,2,2,2,2,2
월세,삼천동1가,장승배기로,99.17,202006.0,17.0,1000.0,70.0,2012.0,전북 전주시 삼천동1가 장승배기로,127.11435095799999,35.792231139,1,1,1,1,1
월세,삼천동1가,하거마1길,53.66666666666666,202036.33333333328,18.0,1166.6666666666667,16.666666666666668,1994.0,전북 전주시 삼천동1가 하거마1길,127.119034104,35.792839191,3,3,3,3,3
월세,삼천동1가,하거마2길,29.25,202103.0,30.0,6500.0,8.0,,전북 전주시 삼천동1가 하거마2길,127.118912084,35.793572609,1,1,1,1,1
월세,삼천동1가,하거마3길,72.1225,202056.375,17.75,1075.0,29.375,1994.0,전북 전주시 삼천동1가 하거마3길,127.1188712,35.794551464,8,8,8,8,8
월세,삼천동1가,하거마4길,39.435,202056.0,14.25,1125.0,16.25,1993.5,전북 전주시 삼천동1가 하거마4길,127.11891309399999,35.795306959,4,4,4,4,4
월세,삼천동1가,하거마5길,60.0,202006.0,7.0,1000.0,25.0,1993.0,전북 전주시 삼천동1가 하거마5길,127.118871284,35.79622017,1,1,1,1,1
월세,삼천동1가,하거마6길,47.8,202009.0,17.0,466.66666666666674,16.666666666666668,1993.666666666667,전북 전주시 삼천동1가 하거마6길,127.11928784700001,35.796807688,3,3,3,3,3
월세,삼천동1가,하거마7길,51.0,202041.0,14.0,1166.6666666666667,28.0,2003.0,전북 전주시 삼천동1가 하거마7길,127.11908219799999,35.798304537,3,3,3,3,3
월세,삼천동2가,계룡산길,30.0,202102.0,15.0,500.0,38.0,2015.0,전북 전주시 삼천동2가 계룡산길,127.103926486,35.785053501,1,1,1,1,1
월세,삼천동2가,효천남6길,173.89999999999995,202008.0,15.5,2000.0,42.5,2020.0,전북 전주시 삼천동2가 효천남6길,127.106128301,35.795551251,2,2,2,2,2
월세,서노송동,물왕멀2길,46.28,202011.0,16.0,500.0,30.0,,전북 전주시 서노송동 물왕멀2길,127.14799843899999,35.82642243,1,1,1,1,1
월세,서노송동,물왕멀3길,218.32,202011.0,20.0,1000.0,23.0,2004.0,전북 전주시 서노송동 물왕멀3길,127.146961512,35.827399109,1,1,1,1,1
월세,서노송동,물왕멀4길,45.0,202103.0,20.0,500.0,45.0,2005.0,전북 전주시 서노송동 물왕멀4길,127.146704329,35.828408465,1,1,1,1,1
월세,서노송동,팔달로,39.6,202101.0,30.0,500.0,23.0,1970.0,전북 전주시 서노송동 팔달로,127.146492376,35.822045599,1,1,1,1,1
