건물명(상호명),건물위치,주택유형구분,세대수(객실수),건축연도
,전라북도 전주시 덕진구 인후동1가 514-11,단독주택(다가구),8,20151215
,전라북도 전주시 덕진구 인후동1가 514-13,단독주택,8,20151229
,전라북도 전주시 덕진구 인후동1가 519-12,"다세대주택(2세대), 창고,변소",6,19910305
,전라북도 전주시 덕진구 인후동1가 519-9,단독주택,13,20101102
,전라북도 전주시 덕진구 인후동1가 520-9,단독주택,3,20030919
,전라북도 전주시 덕진구 인후동1가 541-40,단독주택(다가구주택),4,20161228
,전라북도 전주시 덕진구 인후동1가 541-41,단독주택(다가구주택),3,20161227
,전라북도 전주시 덕진구 인후동1가 561-11,"다세대주택(2세대), 창고, 화장실",4,19891222
,전라북도 전주시 덕진구 인후동1가 561-12,단독주택(다가구주택),6,20020912
,전라북도 전주시 덕진구 인후동1가 561-18,단독주택(다가구주택),12,20020916
,전라북도 전주시 덕진구 인후동1가 565-150,단독주택,13,20130829
,전라북도 전주시 덕진구 인후동1가 565-20,단독주택,17,20131216
,전라북도 전주시 덕진구 인후동1가 565-3,단독주택,6,20110701
,전라북도 전주시 덕진구 인후동1가 571-1,단독주택,8,20120217
,전라북도 전주시 덕진구 인후동1가 571-6,단독주택,13,20101227
,전라북도 전주시 덕진구 인후동1가 571-7,단독주택(다가구주택),13,20120302
,전라북도 전주시 덕진구 인후동1가 571-8,단독주택,10,20111226
,전라북도 전주시 덕진구 인후동1가 571-9,단독주택,13,20101224
,전라북도 전주시 덕진구 인후동1가 575-20,단독주택(다가구주택),10,20140704
,전라북도 전주시 덕진구 인후동1가 575-27,단독주택,8,20120628
,전라북도 전주시 덕진구 인후동1가 590-30,단독주택(다가구주택),0,20020909
,전라북도 전주시 덕진구 인후동1가 590-52,단독주택,8,20121218
,전라북도 전주시 덕진구 인후동1가 590-99,단독주택,10,20121120
,전라북도 전주시 덕진구 인후동1가 592-28,단독주택,8,20131227
,전라북도 전주시 덕진구 인후동1가 600-1,주택,0,19920428
,전라북도 전주시 덕진구 인후동1가 600-10,주택,0,19920428
,전라북도 전주시 덕진구 인후동1가 601-27,단독주택,11,20130625
,전라북도 전주시 덕진구 인후동1가 601-6,다가구주택,10,20150911
,전라북도 전주시 덕진구 인후동1가 615-8,단독주택,2,20150624
,전라북도 전주시 덕진구 인후동1가 617-24,단독주택(다가구주택),9,20140904
,전라북도 전주시 덕진구 인후동1가 617-5,단독주택,10,20171026
,전라북도 전주시 덕진구 인후동1가 617-6,다가구주택,13,20081114
,전라북도 전주시 덕진구 인후동1가 625,단독주택,12,20170921
,전라북도 전주시 덕진구 인후동1가 625-6,단독주택,10,20170920
,전라북도 전주시 덕진구 인후동1가 625-7,단독주택,9,20170921
,전라북도 전주시 덕진구 인후동1가 625-8,단독주택,10,20170921
,전라북도 전주시 덕진구 인후동1가 631-2,단독주택,5,20140827
,전라북도 전주시 덕진구 인후동1가 633-9,단독주택,16,20121227
,전라북도 전주시 덕진구 인후동1가 641-8,단독주택(3가구),3,19971205
,전라북도 전주시 덕진구 인후동1가 647-2,"단독주택, 제1종 근린생활시설",3,20040917
,전라북도 전주시 덕진구 인후동1가 649-1,단독주택,10,20110729
,전라북도 전주시 덕진구 인후동1가 655-6,"단독주택, 제1종근린생활시설",2,19760628
,전라북도 전주시 덕진구 인후동1가 655-6,단독주택,2,19760628
,전라북도 전주시 덕진구 인후동1가 659-130,단독주택(다가구주택),2,20161201
,전라북도 전주시 덕진구 인후동1가 659-143,단독주택,8,20140303
,전라북도 전주시 덕진구 인후동1가 659-8,단독주택,10,20111125
,전라북도 전주시 덕진구 인후동1가 659-96,단독주택,10,20171013
,전라북도 전주시 덕진구 인후동1가 660-15,"근린생활시설, 주택(10가구)",10,20020304
,전라북도 전주시 덕진구 인후동1가 665-2,단독주택,11,20101122
,전라북도 전주시 덕진구 인후동1가 665-5,단독주택,12,20111017
,전라북도 전주시 덕진구 인후동1가 671-12,"단독주택,제2종근린생활시설",4,20031110
,전라북도 전주시 덕진구 인후동1가 675-3,"다세대주택, 변소, 창고",6,19880728
,전라북도 전주시 덕진구 인후동1가 683-3,단독주택(다가구주택),7,20161017
,전라북도 전주시 덕진구 인후동1가 696-17,단독주택,9,20190806
,전라북도 전주시 덕진구 인후동1가 696-63,"근린생활시설, 교육연구및복지시설, 단독주택",2,19970618
,전라북도 전주시 덕진구 인후동1가 696-8,다가구주택,0,19910603
,전라북도 전주시 덕진구 인후동1가 698-3,"다가구주택, 창고, 화장실",1,19901123
,전라북도 전주시 덕진구 인후동1가 698-4,다가구주택(2가구),6,19891226
,전라북도 전주시 덕진구 인후동1가 698-5,"다가구주택(3가구), 대피소",3,19910509
,전라북도 전주시 덕진구 인후동1가 698-6,다가구주택,4,19910708
,전라북도 전주시 덕진구 인후동1가 698-8,다가구주택,1,19891026
,전라북도 전주시 덕진구 인후동1가 700,단독주택,8,20200326
,전라북도 전주시 덕진구 인후동1가 700-3,단독주택,13,20190812
,전라북도 전주시 덕진구 인후동1가 700-4,단독주택(다가구주택),10,20191122
,전라북도 전주시 덕진구 인후동1가 700-5,단독주택,11,20190613
,전라북도 전주시 덕진구 인후동1가 701,주택,4,19980807
,전라북도 전주시 덕진구 인후동1가 701-4,단독주택(3가구),3,19980403
,전라북도 전주시 덕진구 인후동1가 701-5,단독주택,8,20200325
,전라북도 전주시 덕진구 인후동1가 703-22,단독주택(3가구),3,19981208
,전라북도 전주시 덕진구 인후동1가 704-2,단독주택(3가구),3,19970808
,전라북도 전주시 덕진구 인후동1가 705-135,단독주택,5,19940613
,전라북도 전주시 덕진구 인후동1가 705-79,단독주택(3세대),3,19920907
,전라북도 전주시 덕진구 인후동1가 711-3,"주택, 변소",0,19830105
,전라북도 전주시 덕진구 인후동1가 726-27,주택(3가구),3,19911102
,전라북도 전주시 덕진구 인후동1가 727-26,제1종근생(소매점),4,20130917
,전라북도 전주시 덕진구 인후동1가 727-57,단독주택,2,20031203
,전라북도 전주시 덕진구 인후동1가 752-17,단독주택(3가구),3,19910523
,전라북도 전주시 덕진구 인후동1가 752-19,단독주택(3가구),3,19910702
,전라북도 전주시 덕진구 인후동1가 752-23,단독주택,3,19980501
,전라북도 전주시 덕진구 인후동1가 752-24,단독주택,3,19980518
,전라북도 전주시 덕진구 인후동1가 752-25,단독주택,3,19980501
,전라북도 전주시 덕진구 인후동1가 752-26,단독주택,3,19980518
,전라북도 전주시 덕진구 인후동1가 753-2,단독주택(3가구),3,19940909
,전라북도 전주시 덕진구 인후동1가 753-3,단독주택(다가구주택),6,20020219
,전라북도 전주시 덕진구 인후동1가 753-9,다가구주택,10,20090602
,전라북도 전주시 덕진구 인후동1가 755-3,"근린생활시설, 주택, 제2종근린생활시설",4,19930705
,전라북도 전주시 덕진구 인후동1가 756-23,"단독주택(4가구), 대피소",4,19900813
,전라북도 전주시 덕진구 인후동1가 756-8,단독주택,5,19900830
,전라북도 전주시 덕진구 인후동1가 756-9,다가구주택,0,19910812
,전라북도 전주시 덕진구 인후동1가 758-2,다가구주택(2가구),2,19901105
,전라북도 전주시 덕진구 인후동1가 759-3,단독주택(다가구주택),12,20030826
,전라북도 전주시 덕진구 인후동1가 759-4,단독주택(18가구),18,20030624
,전라북도 전주시 덕진구 인후동1가 759-6,다가구주택(3가구),3,19900825
,전라북도 전주시 덕진구 인후동1가 759-9,"제2종근린생활시설, 단독주택(18가구)",18,20030630
,전라북도 전주시 덕진구 인후동1가 760-11,다가구주택(2가구),2,19900914
,전라북도 전주시 덕진구 인후동1가 760-17,다가구주택,3,19900813
,전라북도 전주시 덕진구 인후동1가 760-18,다가구주택(3가구),3,19901128
,전라북도 전주시 덕진구 인후동1가 760-2,단독주택(3가구),3,19961029
,전라북도 전주시 덕진구 인후동1가 760-20,주택(2가구),4,19920210
,전라북도 전주시 덕진구 인후동1가 760-5,"다가구주택(3가구), 변소",3,19891120
,전라북도 전주시 덕진구 인후동1가 760-6,단독주택,3,19980408
,전라북도 전주시 덕진구 인후동1가 762-10,주택(3가구),3,19911108
,전라북도 전주시 덕진구 인후동1가 762-11,"다가구주택(3가구), 화장실",3,19900621
,전라북도 전주시 덕진구 인후동1가 762-12,다가구주택(3가구),11,19900323
,전라북도 전주시 덕진구 인후동1가 762-13,다가구주택,0,19900718
,전라북도 전주시 덕진구 인후동1가 762-14,다가구주택(3가구),3,19900817
,전라북도 전주시 덕진구 인후동1가 762-15,다가구주택,0,19901020
,전라북도 전주시 덕진구 인후동1가 762-16,다가구주택,0,19901025
,전라북도 전주시 덕진구 인후동1가 762-17,다가구주택,0,19901013
,전라북도 전주시 덕진구 인후동1가 762-19,다가구주택(3가구),3,19901011
,전라북도 전주시 덕진구 인후동1가 762-3,다가구주택(3가구),1,19891214
,전라북도 전주시 덕진구 인후동1가 762-4,단독주택(3가구),3,19910118
,전라북도 전주시 덕진구 인후동1가 762-6,"다가구주택, 창고",1,19891006
,전라북도 전주시 덕진구 인후동1가 762-7,"제1종,2종근린생활시설, 다가구주택",0,19910621
,전라북도 전주시 덕진구 인후동1가 762-8,다가구주택(3가구),1,19900323
,전라북도 전주시 덕진구 인후동1가 763-13,"다가구주택(3), 화장실",3,19891230
,전라북도 전주시 덕진구 인후동1가 763-14,다가구주택,10,20090723
,전라북도 전주시 덕진구 인후동1가 763-2,다가구주택(3가구),3,19901207
,전라북도 전주시 덕진구 인후동1가 763-3,단독주택(3가구),3,19910708
,전라북도 전주시 덕진구 인후동1가 764-1,"제1,2종근린생활시설, 주택",2,20020221
,전라북도 전주시 덕진구 인후동1가 765-11,"다가구주택(3가구), 화장실",3,19901123
,전라북도 전주시 덕진구 인후동1가 765-12,다가구주택,0,19900802
,전라북도 전주시 덕진구 인후동1가 765-14,"다세대주택, 화장실",2,19901011
,전라북도 전주시 덕진구 인후동1가 765-16,"다가구주택, 변소",0,19900705
,전라북도 전주시 덕진구 인후동1가 765-3,단독주택,10,20110517
,전라북도 전주시 덕진구 인후동1가 765-4,단독주택(다가구주택),15,20100201
,전라북도 전주시 덕진구 인후동1가 766-10,단독주택(다가구주택),9,20140514
,전라북도 전주시 덕진구 인후동1가 767-7,단독주택,16,20111212
,전라북도 전주시 덕진구 인후동1가 768-2,단독주택,11,20090630
,전라북도 전주시 덕진구 인후동1가 769-10,단독주택(다가구),0,19910611
,전라북도 전주시 덕진구 인후동1가 769-11,"단독주택(다가구), 교육연구및복지시설",0,19910611
,전라북도 전주시 덕진구 인후동1가 769-12,"근린생활시설, 다가구주택, 화장실",2,19911030
,전라북도 전주시 덕진구 인후동1가 769-3,단독주택(다가구),0,19910611
,전라북도 전주시 덕진구 인후동1가 770-2,다가구주택,3,19900409
,전라북도 전주시 덕진구 인후동1가 771-10,단독주택,11,20100615
,전라북도 전주시 덕진구 인후동1가 771-11,"주택(2가구), 제1종근린생활시설",2,19931209
,전라북도 전주시 덕진구 인후동1가 771-12,단독주택,11,20170908
,전라북도 전주시 덕진구 인후동1가 771-14,다가구주택(11가구),11,20080804
,전라북도 전주시 덕진구 인후동1가 771-4,단독주택,10,20110217
,전라북도 전주시 덕진구 인후동1가 771-5,단독주택,9,20031126
,전라북도 전주시 덕진구 인후동1가 771-6,단독주택,9,20031126
,전라북도 전주시 덕진구 인후동1가 771-8,단독주택,11,20100615
,전라북도 전주시 덕진구 인후동1가 772-10,단독주택,13,20141014
,전라북도 전주시 덕진구 인후동1가 772-15,단독주택,10,20100917
,전라북도 전주시 덕진구 인후동1가 772-9,단독주택(다가구주택-9가구),9,20030925
,전라북도 전주시 덕진구 인후동1가 773-1,단독주택,10,20100729
,전라북도 전주시 덕진구 인후동1가 773-12,단독주택,9,20040407
,전라북도 전주시 덕진구 인후동1가 773-13,단독주택,9,20040517
,전라북도 전주시 덕진구 인후동1가 773-14,단독주택,9,20040506
,전라북도 전주시 덕진구 인후동1가 773-17,단독주택,9,20040407
,전라북도 전주시 덕진구 인후동1가 773-19,단독주택,11,20101019
,전라북도 전주시 덕진구 인후동1가 773-2,단독주택,9,20041218
,전라북도 전주시 덕진구 인후동1가 773-3,단독주택,11,20100421
,전라북도 전주시 덕진구 인후동1가 773-4,다가구주택,10,20090408
,전라북도 전주시 덕진구 인후동1가 773-7,"단독주택(다가구주택), 제2종근린생활시설",2,20021230
,전라북도 전주시 덕진구 인후동1가 774-10,단독주택,11,20130908
,전라북도 전주시 덕진구 인후동1가 776-8,단독주택,14,20181025
,전라북도 전주시 덕진구 인후동1가 777-3,다가구주택(3가구),3,19910307
,전라북도 전주시 덕진구 인후동1가 777-4,단독주택(3가구),3,19910312
,전라북도 전주시 덕진구 인후동1가 777-5,단독주택(6가구),6,19991022
,전라북도 전주시 덕진구 인후동1가 779-4,단독주택,16,20101214
,전라북도 전주시 덕진구 인후동1가 780-12,단독주택,9,20040602
,전라북도 전주시 덕진구 인후동1가 780-5,단독주택,9,20100806
,전라북도 전주시 덕진구 인후동1가 781-11,"단독주택(다가구주택), 제2종근린생활시설",15,20020401
,전라북도 전주시 덕진구 인후동1가 781-12,"단독주택(다가구주택), 제2종근린생활시설",2,20030102
,전라북도 전주시 덕진구 인후동1가 781-14,단독주택,8,20140423
,전라북도 전주시 덕진구 인후동1가 781-16,단독주택(18가구),18,20010705
,전라북도 전주시 덕진구 인후동1가 781-17,"단독주택(다가구주택), 제1종근린생활시설",12,20020401
,전라북도 전주시 덕진구 인후동1가 781-18,"단독주택(다가구주택), 제2종근린생활시설",2,20021024
,전라북도 전주시 덕진구 인후동1가 781-5,"위락시설, 단독주택",2,20020220
,전라북도 전주시 덕진구 인후동1가 781-8,"단독주택(다가구주택), 제2종근린생활시설",2,20021024
,전라북도 전주시 덕진구 인후동1가 783-14,"단독주택(다가구주택), 제1,2종근린생활시설",5,20021218
,전라북도 전주시 덕진구 인후동1가 783-9,"제2종근린생활시설, 단독주택(다가구주택)",2,20020222
,전라북도 전주시 덕진구 인후동1가 784-13,단독주택,13,20120731
,전라북도 전주시 덕진구 인후동1가 785-2,"제1종근린생활시설, 단독주택(15가구)",15,20030623
,전라북도 전주시 덕진구 인후동1가 807-14,단독주택,10,20120903
,전라북도 전주시 덕진구 인후동1가 807-2,단독주택,10,20120913
,전라북도 전주시 덕진구 인후동1가 809-1,단독주택,10,20100201
,전라북도 전주시 덕진구 인후동1가 809-2,단독주택(다가구주택),16,20021002
,전라북도 전주시 덕진구 인후동1가 810-5,단독주택,12,20080806
,전라북도 전주시 덕진구 인후동1가 810-7,다가구주택(15가구),15,20090121
,전라북도 전주시 덕진구 인후동1가 812-1,단독주택(2가구),2,19990810
,전라북도 전주시 덕진구 인후동1가 812-10,"제1종근린생활시설, 주택",1,19981202
,전라북도 전주시 덕진구 인후동1가 812-3,단독주택(다가구주택),10,20091113
,전라북도 전주시 덕진구 인후동1가 813-2,단독주택(다가구주택),12,20060825
,전라북도 전주시 덕진구 인후동1가 814-12,단독주택,10,20161125
,전라북도 전주시 덕진구 인후동1가 814-5,단독주택,7,20171215
,전라북도 전주시 덕진구 인후동1가 814-6,단독주택(다가구주택),1,20020515
,전라북도 전주시 덕진구 인후동1가 814-8,단독주택,7,20080303
,전라북도 전주시 덕진구 인후동1가 816-1,"단독주택, 제1종근린생활시설",9,20051202
,전라북도 전주시 덕진구 인후동1가 816-2,다가구및 제1종근생(소매점),5,20100310
,전라북도 전주시 덕진구 인후동1가 816-3,단독주택,14,20041215
,전라북도 전주시 덕진구 인후동1가 816-4,단독주택,14,20041214
,전라북도 전주시 덕진구 인후동1가 819-3,단독주택(다가구),5,20170628
,전라북도 전주시 덕진구 인후동1가 820-14,단독주택,13,20131205
,전라북도 전주시 덕진구 인후동1가 820-16,단독주택,11,20050826
,전라북도 전주시 덕진구 인후동1가 820-18,단독주택(다가구주택),1,20020919
,전라북도 전주시 덕진구 인후동1가 820-20,단독주택,10,20140417
,전라북도 전주시 덕진구 인후동1가 820-22,"단독주택,제2종근린생활시설",4,20120418
,전라북도 전주시 덕진구 인후동1가 820-3,"제1,2종근린생활시설, 단독주택(3가구)",3,20021107
,전라북도 전주시 덕진구 인후동1가 822-14,단독주택,15,20060307
,전라북도 전주시 덕진구 인후동1가 823-11,단독주택,10,20080131
,전라북도 전주시 덕진구 인후동1가 823-2,"단독주택(다가구주택), 제2종근린생활시설",1,20020222
,전라북도 전주시 덕진구 인후동1가 823-5,다가구주택,12,20141222
,전라북도 전주시 덕진구 인후동1가 823-7,단독주택,16,20040802
,전라북도 전주시 덕진구 인후동1가 823-9,단독주택,15,20061103
,전라북도 전주시 덕진구 인후동1가 824-1,"단독주택, 제2종근린생활시설",1,20020730
,전라북도 전주시 덕진구 인후동1가 824-13,단독주택,2,20050704
,전라북도 전주시 덕진구 인후동1가 824-15,단독주택,10,20101119
,전라북도 전주시 덕진구 인후동1가 824-16,다가구주택/소매점,3,20110324
,전라북도 전주시 덕진구 인후동1가 824-17,단독주택,2,20040712
,전라북도 전주시 덕진구 인후동1가 824-18,단독주택,3,20111014
,전라북도 전주시 덕진구 인후동1가 824-19,단독주택(다가구주택-13가구),13,20060704
,전라북도 전주시 덕진구 인후동1가 824-2,단독주택,13,20101118
,전라북도 전주시 덕진구 인후동1가 824-4,단독주택,15,20060516
인후 데코빌,전라북도 전주시 덕진구 인후동1가 824-7,"다가구주택,2종근린생활시설",10,20071127
,전라북도 전주시 덕진구 인후동1가 825-10,"제2종근린생활시설, 주택",4,20020812
,전라북도 전주시 덕진구 인후동1가 825-12,다가구주택,8,20081229
,전라북도 전주시 덕진구 인후동1가 825-5,다가구주택(10가구),10,20081027
,전라북도 전주시 덕진구 인후동1가 825-6,"제1,2종근린생활시설, 단독주택(다가구주택6가구)",6,20030127
,전라북도 전주시 덕진구 인후동1가 825-7,"단독주택(7가구),제1종근린생활시설",7,20031230
,전라북도 전주시 덕진구 인후동1가 825-8,단독주택,15,20051223
,전라북도 전주시 덕진구 인후동1가 827-1,단독주택,10,20100615
,전라북도 전주시 덕진구 인후동1가 827-11,단독주택,17,20170816
.,전라북도 전주시 덕진구 인후동1가 827-12,단독주택(다가구주택),17,20070914
,전라북도 전주시 덕진구 인후동1가 827-16,단독주택,18,20101028
,전라북도 전주시 덕진구 인후동1가 827-3,단독주택,17,20070327
,전라북도 전주시 덕진구 인후동1가 827-6,단독다가구주택,12,20011114
,전라북도 전주시 덕진구 인후동1가 827-7,단독주택,8,20050411
,전라북도 전주시 덕진구 인후동1가 828-1,단독주택,11,20070510
,전라북도 전주시 덕진구 인후동1가 828-11,단독주택,15,20070608
,전라북도 전주시 덕진구 인후동1가 828-12,단독주택(다가구주택),2,20020502
,전라북도 전주시 덕진구 인후동1가 828-15,다가구주택(18가구),18,20081013
,전라북도 전주시 덕진구 인후동1가 828-16,다가구주택,19,20081223
,전라북도 전주시 덕진구 인후동1가 828-4,다가구주택,18,20081113
,전라북도 전주시 덕진구 인후동1가 829-1,단독주택,13,20060712
,전라북도 전주시 덕진구 인후동1가 829-13,단독주택,2,20050711
,전라북도 전주시 덕진구 인후동1가 829-14,단독주택,15,20090216
,전라북도 전주시 덕진구 인후동1가 829-17,단독주택(다가구주택),1,20021011
,전라북도 전주시 덕진구 인후동1가 829-19,단독주택,13,20080331
,전라북도 전주시 덕진구 인후동1가 829-21,단독주택,9,20050916
,전라북도 전주시 덕진구 인후동1가 829-23,단독주택,15,20101007
,전라북도 전주시 덕진구 인후동1가 829-5,단독주택,13,20070507
,전라북도 전주시 덕진구 인후동1가 830-1,"단독주택, 제1,2종근린생활시설",11,20041112
,전라북도 전주시 덕진구 인후동1가 830-12,"단독주택, 제1종근린생활시설",0,20021129
,전라북도 전주시 덕진구 인후동1가 830-2,단독주택(다가구주택(7가구)),7,20200317
,전라북도 전주시 덕진구 인후동1가 830-3,단독주택(다가구주택(5가구)),5,20200401
,전라북도 전주시 덕진구 인후동1가 830-4,단독주택,8,20160819
,전라북도 전주시 덕진구 인후동1가 830-5,단독주택,9,20170228
,전라북도 전주시 덕진구 인후동1가 830-7,단독주택 및 제1종근린생활시설,6,20071205
,전라북도 전주시 덕진구 인후동1가 830-9,"단독주택,제2종근린생활시설",2,20050713
,전라북도 전주시 덕진구 인후동1가 831-1,단독주택,15,20060510
,전라북도 전주시 덕진구 인후동1가 831-2,단독주택,17,20050322
,전라북도 전주시 덕진구 인후동1가 831-3,단독주택,11,20111222
,전라북도 전주시 덕진구 인후동1가 832-11,단독주택(다가구주택),8,20071128
,전라북도 전주시 덕진구 인후동1가 832-13,단독주택,7,20140212
,전라북도 전주시 덕진구 인후동1가 832-14,단독주택,5,20140313
,전라북도 전주시 덕진구 인후동1가 832-15,단독주택(다가구주택),10,20110915
,전라북도 전주시 덕진구 인후동1가 832-5,단독주택,8,20050728
,전라북도 전주시 덕진구 인후동1가 832-6,단독주택,16,20061010
,전라북도 전주시 덕진구 인후동1가 833-1,단독주택,13,20171124
,전라북도 전주시 덕진구 인후동1가 833-10,다가구주택,10,20111222
,전라북도 전주시 덕진구 인후동1가 833-13,단독주택,9,20080205
,전라북도 전주시 덕진구 인후동1가 833-14,"단독주택,제1종근린생활시설",2,20041228
,전라북도 전주시 덕진구 인후동1가 836-1,"단독주택,제1종근린생활시설",15,20100610
,전라북도 전주시 덕진구 인후동1가 836-10,단독주택,10,20120417
,전라북도 전주시 덕진구 인후동1가 836-2,단독주택,10,20120316
,전라북도 전주시 덕진구 인후동1가 836-3,단독주택,11,20100702
인후동1가 836-5 단독주택 (허정일),전라북도 전주시 덕진구 인후동1가 836-5,다가구주택(5가구) 및 제1종근생(소매점),5,20140313
,전라북도 전주시 덕진구 인후동1가 836-7,단독주택,12,20061201
,전라북도 전주시 덕진구 인후동1가 836-9,단독주택,10,20100701
,전라북도 전주시 덕진구 인후동1가 837-1,단독주택,18,20070112
,전라북도 전주시 덕진구 인후동1가 837-3,단독주택(다가구주택),8,20030412
,전라북도 전주시 덕진구 인후동1가 837-9,단독주택,6,20131227
,전라북도 전주시 덕진구 인후동1가 838-1,제1종근린생활시설,6,20131127
,전라북도 전주시 덕진구 인후동1가 838-3,단독주택,3,20170427
,전라북도 전주시 덕진구 인후동1가 838-4,단독주택(다가구),9,20160111
,전라북도 전주시 덕진구 인후동1가 838-5,단독주택(다가구),17,20100929
,전라북도 전주시 덕진구 인후동1가 838-7,단독주택,17,20101012
,전라북도 전주시 덕진구 인후동1가 839-13,단독주택,12,20111109
,전라북도 전주시 덕진구 인후동1가 839-14,단독주택(다가구주택),10,20091124
,전라북도 전주시 덕진구 인후동1가 839-2,단독주택,8,20060828
,전라북도 전주시 덕진구 인후동1가 839-3,"제1종근린생활시설, 단독주택",5,20020214
,전라북도 전주시 덕진구 인후동1가 839-4,다가구주택,5,20150825
,전라북도 전주시 덕진구 인후동1가 840-2,단독주택,11,20060615
,전라북도 전주시 덕진구 인후동1가 840-6,단독주택,17,20080115
,전라북도 전주시 덕진구 인후동1가 840-9,단독주택(다가구주택),1,20020829
,전라북도 전주시 덕진구 인후동1가 841-10,"단독주택, 제2종근린생활시설",10,20120120
,전라북도 전주시 덕진구 인후동1가 841-12,다가구주택,8,20090616
,전라북도 전주시 덕진구 인후동1가 841-2,단독주택,18,20011120
,전라북도 전주시 덕진구 인후동1가 841-3,"단독주택(다가구주택,10가구)",10,20030311
,전라북도 전주시 덕진구 인후동1가 841-4,단독주택(12가구),12,20030531
,전라북도 전주시 덕진구 인후동1가 841-5,단독주택(다가구주택),3,20021107
,전라북도 전주시 덕진구 인후동1가 841-8,다가구주택,13,20081120
,전라북도 전주시 덕진구 인후동1가 843-12,단독주택,18,20100708
,전라북도 전주시 덕진구 인후동1가 843-14,"단독주택, 제1종근린생활시설",6,20040802
,전라북도 전주시 덕진구 인후동1가 843-15,단독주택,3,20200305
,전라북도 전주시 덕진구 인후동1가 843-16,단독주택,14,20060928
,전라북도 전주시 덕진구 인후동1가 843-17,단독주택,15,20071105
,전라북도 전주시 덕진구 인후동1가 843-19,단독주택(다가구주택),2,20021129
,전라북도 전주시 덕진구 인후동1가 843-3,"단독주택(다가구주택), 제2종근린생활시설(교회)",2,20021129
썬하우스,전라북도 전주시 덕진구 인후동1가 843-9,단독주택,5,20181016
,전라북도 전주시 덕진구 인후동1가 848-10,단독주택,10,20170404
엄빌딩2,전라북도 전주시 덕진구 인후동1가 848-18,단독주택,8,20060313
김씨빌딩2,전라북도 전주시 덕진구 인후동1가 848-19,단독주택,8,20060412
,전라북도 전주시 덕진구 인후동1가 848-5,단독주택,8,20051205
,전라북도 전주시 덕진구 인후동1가 848-6,단독주택,8,20060124
,전라북도 전주시 덕진구 인후동1가 848-8,단독주택,2,20151223
,전라북도 전주시 덕진구 인후동1가 849-11,단독주택(다가구주택),10,20091007
,전라북도 전주시 덕진구 인후동1가 849-15,단독주택,18,20070302
,전라북도 전주시 덕진구 인후동1가 849-16,단독주택,17,20070328
,전라북도 전주시 덕진구 인후동1가 849-3,단독주택,7,20060321
,전라북도 전주시 덕진구 인후동1가 849-5,단독주택,10,20061128
,전라북도 전주시 덕진구 인후동1가 849-6,단독주택,13,20050323
,전라북도 전주시 덕진구 인후동1가 849-7,단독주택,19,20060811
,전라북도 전주시 덕진구 인후동1가 850-3,단독주택,13,20050905
,전라북도 전주시 덕진구 인후동1가 850-4,단독주택,10,20060615
,전라북도 전주시 덕진구 인후동1가 850-5,단독주택,9,20070607
,전라북도 전주시 덕진구 인후동1가 850-6,단독주택,11,20171024
,전라북도 전주시 덕진구 인후동1가 850-8,단독주택,12,20101005
,전라북도 전주시 덕진구 인후동1가 851-3,단독주택,8,20101230
,전라북도 전주시 덕진구 인후동1가 852-11,단독주택,13,20130917
,전라북도 전주시 덕진구 인후동1가 852-13,단독주택(다가구주택),2,20020822
,전라북도 전주시 덕진구 인후동1가 852-14,단독주택,19,20100609
,전라북도 전주시 덕진구 인후동1가 852-15,"단독주택, 제2종근린생활시설",4,20010310
,전라북도 전주시 덕진구 인후동1가 853-1,"단독주택, 제1종근린생활시설",10,20100615
,전라북도 전주시 덕진구 인후동1가 853-2,단독주택,16,20100713
,전라북도 전주시 덕진구 인후동1가 854-2,단독주택(다가구주택),2,20021204
,전라북도 전주시 덕진구 인후동1가 854-4,"제1근린생활시설, 단독주택",0,20011122
,전라북도 전주시 덕진구 인후동1가 854-5,단독주택,12,20110419
,전라북도 전주시 덕진구 인후동1가 856-7,"근린생활시설, 단독주택",5,19990601
,전라북도 전주시 덕진구 인후동1가 859-3,단독주택(다가구),10,20160223
,전라북도 전주시 덕진구 인후동1가 860-3,단독주택,10,20110408
,전라북도 전주시 덕진구 인후동1가 861-10,단독주택,2,20120919
,전라북도 전주시 덕진구 인후동1가 861-2,단독주택,7,20180405
,전라북도 전주시 덕진구 인후동1가 861-3,단독주택(2가구),2,20030602
,전라북도 전주시 덕진구 인후동1가 861-9,단독주택,7,20120917
,전라북도 전주시 덕진구 인후동1가 862-4,단독주택(다가구주택4가구),4,20011226
,전라북도 전주시 덕진구 인후동1가 862-5,단독주택,16,20140331
,전라북도 전주시 덕진구 인후동1가 862-6,단독주택,9,20060517
,전라북도 전주시 덕진구 인후동1가 863-2,단독주택,3,20040429
,전라북도 전주시 덕진구 인후동1가 863-4,단독주택,8,20180903
,전라북도 전주시 덕진구 인후동1가 863-7,단독주택(다가구주택),2,20020315
,전라북도 전주시 덕진구 인후동1가 863-9,단독주택,13,20060825
,전라북도 전주시 덕진구 인후동1가 865-10,단독주택,10,20070222
,전라북도 전주시 덕진구 인후동1가 865-11,단독주택,10,20070316
.,전라북도 전주시 덕진구 인후동1가 866-1,단독주택(다가구주택),2,20150309
,전라북도 전주시 덕진구 인후동1가 866-11,단독주택,9,20150805
,전라북도 전주시 덕진구 인후동1가 866-5,단독주택,5,20180725
,전라북도 전주시 덕진구 인후동1가 866-8,단독주택,7,20180305
